id,match_id,team,player1,elapsed,elapsed_plus,pos_x,pos_y,subtype
378835,1729,10260,30373,4,,,,distance
378845,1729,10261,37799,5,,,,distance
378995,1729,10261,24228,22,,,,deflected
379075,1729,10261,38807,31,,,,distance
379111,1729,10260,24154,34,,,,header
379140,1729,10260,30373,37,,,,distance
379378,1729,10261,40565,53,,,,distance
379415,1729,10261,37799,60,,,,distance
379419,1729,10261,38807,62,,,,deflected
379421,1729,10261,37799,62,,,,header
379431,1729,10261,33852,66,,,,distance
379438,1729,10260,30373,67,,,,distance
379451,1729,10260,30829,73,,,,deflected
379453,1729,10260,30865,74,,,,crossbar
379454,1729,10260,32569,74,,,,deflected
379504,1729,10261,38807,82,,,,direct_freekick
379515,1729,10260,30829,84,,,,distance
379560,1729,10260,32569,90,1,,,shot
379573,1729,10260,30829,90,4,,,direct_freekick
375553,1730,8659,23257,6,,,,direct_freekick
375561,1730,9825,26181,9,,,,deflected
375572,1730,9825,38835,11,,,,distance
375585,1730,9825,26111,19,,,,deflected
375603,1730,9825,36410,25,,,,header
375620,1730,8659,31088,30,,,,deflected
375633,1730,9825,30935,35,,,,distance
375660,1730,9825,39297,45,1,,,distance
375674,1730,9825,30960,49,,,,shot
375681,1730,8659,23257,50,,,,deflected
375685,1730,9825,30960,52,,,,shot
375690,1730,9825,30935,53,,,,distance
375735,1730,9825,30935,65,,,,distance
375820,1730,9825,38835,80,,,,shot
375857,1730,9825,30843,85,,,,distance
375870,1730,9825,30843,87,,,,shot
377805,1731,8472,30352,10,,,,distance
377884,1731,8472,23927,27,,,,shot
377905,1731,8650,30618,35,,,,deflected
377935,1731,8650,24635,43,,,,distance
377963,1731,8650,30618,53,,,,distance
377971,1731,8650,24635,56,,,,deflected
378034,1731,8650,30889,81,,,,distance
378055,1731,8472,30352,89,,,,distance
376107,1732,8528,127857,7,,,,shot
376213,1732,8528,41877,14,,,,distance
376267,1732,8528,111865,17,,,,shot
376278,1732,8528,111865,18,,,,distance
376456,1732,8528,111865,28,,,,distance
376813,1732,8654,37169,45,3,,,distance
376902,1732,8654,23139,46,,,,volley
376953,1732,8528,41877,50,,,,deflected
377015,1732,8654,34543,53,,,,header
377049,1732,8528,111865,54,,,,distance
377106,1732,8654,36394,57,,,,shot
377155,1732,8528,97988,60,,,,shot
377185,1732,8528,35327,62,,,,distance
377251,1732,8528,127857,66,,,,header
377268,1732,8528,127857,67,,,,shot
377294,1732,8654,23139,69,,,,direct_freekick
377421,1732,8528,111865,77,,,,distance
377433,1732,8654,36394,78,,,,shot
377566,1732,8654,37277,87,,,,header
377575,1732,8528,127857,88,,,,deflected
377603,1732,8528,24663,90,,,,distance
377651,1732,8528,127857,90,3,,,shot
