id,match_id,team,player1,elapsed,elapsed_plus,pos_x,pos_y,subtype
465716,1739,10260,30829,90,1,,,blocked_shot
464273,1740,9825,31013,30,,,,blocked_shot
464317,1740,9825,31013,32,,,,shot
464326,1740,9825,31013,32,,,,blocked_shot
464918,1740,9825,39297,51,,,,distance
465176,1740,8586,23760,62,,,,shot
465272,1740,8586,24656,67,,,,shot
465407,1740,9825,31013,74,,,,shot
465498,1740,9825,30843,78,,,,shot
465600,1740,9825,26111,84,,,,blocked_shot
465672,1740,9825,30613,90,,,,blocked_shot
465685,1740,8586,30818,90,1,,,header
465722,1740,9825,30960,90,5,,,header
463710,1741,8456,33974,9,,,,shot
463775,1741,8549,35608,12,,,,header
463886,1741,8549,35608,17,,,,blocked_shot
463905,1741,8456,24208,18,,,,distance
464139,1741,8549,24161,28,,,,blocked_shot
464150,1741,8549,42183,28,,,,shot
464237,1741,8456,51553,31,,,,shot
464517,1741,8549,24753,45,1,,,blocked_shot
464797,1741,8456,24213,47,,,,shot
464801,1741,8456,40198,47,,,,shot
464867,1741,8456,30367,49,,,,shot
465011,1741,8456,40198,56,,,,blocked_shot
465066,1741,8456,23939,59,,,,distance
465356,1741,8456,39027,72,,,,distance
465515,1741,8456,107216,80,,,,blocked_shot
465525,1741,8456,33974,80,,,,blocked_shot
463666,1742,8559,37996,4,,,,shot
463720,1742,8559,24372,6,,,,header
463785,1742,8668,39618,9,,,,shot
463808,1742,8559,34261,10,,,,distance
463862,1742,8668,24160,13,,,,shot
463902,1742,8559,35532,15,,,,shot
463936,1742,8559,23933,17,,,,distance
463956,1742,8668,24011,17,,,,blocked_shot
463969,1742,8668,30735,18,,,,header
464172,1742,8668,30735,26,,,,distance
464442,1742,8559,24372,39,,,,blocked_shot
464533,1742,8559,37996,45,,,,direct_freekick
464892,1742,8559,35532,48,,,,distance
465170,1742,8559,24372,61,,,,distance
465516,1742,8559,35532,75,,,,distance
465536,1742,8559,23934,76,,,,blocked_shot
465598,1742,8559,34261,81,,,,blocked_shot
465714,1742,8668,25666,90,2,,,shot
465729,1742,8559,37996,79,,,,volley
463570,1743,8455,30630,15,,,,shot
463747,1743,8667,39073,23,,,,distance
463973,1743,8667,23352,34,,,,distance
464176,1743,8455,37804,42,,,,shot
464244,1743,8667,39073,44,,,,shot
464259,1743,8667,23352,45,,,,header
465037,1743,8455,37804,73,,,,shot
463390,1744,8472,33418,1,,,,distance
463499,1744,10194,38755,11,,,,blocked_shot
463502,1744,10194,23333,11,,,,deflected
463510,1744,8472,38802,12,,,,blocked_shot
463625,1744,10194,38755,18,,,,distance
463691,1744,10194,23333,21,,,,distance
463870,1744,8472,38802,30,,,,blocked_shot
465348,1744,8472,30988,85,,,,shot
463713,1745,8650,37139,10,,,,shot
463876,1745,8650,30618,18,,,,blocked_shot
464066,1745,8462,25517,26,,,,header
464177,1745,8650,30618,30,,,,blocked_shot
464179,1745,8650,30617,30,,,,distance
464469,1745,8650,30618,45,,,,shot
465005,1745,8650,37139,58,,,,header
465023,1745,8650,95327,59,,,,deflected
465349,1745,8650,24800,73,,,,blocked_shot
465370,1745,8650,34222,74,,,,distance
463416,1746,10252,23782,3,,,,blocked_shot
463433,1746,8655,49571,5,,,,deflected
463559,1746,8655,38711,15,,,,distance
463694,1746,8655,34947,21,,,,blocked_shot
463970,1746,8655,38711,34,,,,blocked_shot
463988,1746,10252,43280,35,,,,header
464628,1746,8655,49571,49,,,,blocked_shot
464912,1746,8655,23916,66,,,,volley
464935,1746,8655,30842,67,,,,blocked_shot
462678,1747,10261,37799,3,,,,deflected
462711,1747,10261,34574,14,,,,blocked_shot
462827,1747,8659,24171,35,,,,shot
462977,1747,8659,24171,56,,,,blocked_shot
463008,1747,10261,34574,69,,,,shot
463011,1747,8659,31731,70,,,,blocked_shot
463018,1747,8659,24171,73,,,,blocked_shot
463019,1747,8659,27267,73,,,,shot
463074,1747,10261,37845,90,2,,,distance
463931,1748,8528,97988,31,,,,blocked_shot
464178,1748,8528,127857,41,,,,blocked_shot
464245,1748,8528,127857,43,,,,shot
464653,1748,9879,24741,49,,,,blocked_shot
465074,1748,8528,34466,71,,,,deflected
467280,1749,10260,30893,31,,,,shot
467360,1749,10260,30893,36,,,,blocked_shot
467842,1749,10260,30893,57,,,,blocked_shot
467980,1749,8667,34275,62,,,,header
468102,1749,8667,39073,73,,,,distance
468157,1749,10260,30829,76,,,,shot
468187,1749,10260,30829,78,,,,shot
468217,1749,10260,30865,80,,,,header
468223,1749,8667,3512,80,,,,distance
468389,1749,10260,24154,90,2,,,shot
468642,1750,8650,30618,16,,,,shot
468710,1750,8650,24635,37,,,,blocked_shot
468726,1750,8586,24656,41,,,,blocked_shot
468728,1750,8586,31097,41,,,,distance
468834,1750,8650,37139,50,,,,blocked_shot
468835,1750,8650,30618,50,,,,deflected
468869,1750,8586,23760,55,,,,blocked_shot
468877,1750,8650,37920,59,,,,blocked_shot
469010,1750,8586,38697,86,,,,header
469032,1750,8586,23760,90,1,,,distance
466399,1751,8668,36012,10,,,,header
466404,1751,9879,24737,13,,,,blocked_shot
466427,1751,8668,24011,19,,,,blocked_shot
466441,1751,8668,24160,24,,,,blocked_shot
466469,1751,8668,24006,30,,,,blocked_shot
466480,1751,9879,24741,33,,,,header
466496,1751,9879,30338,36,,,,blocked_shot
466606,1751,9879,24843,60,,,,header
466672,1751,9879,24843,72,,,,direct_freekick
466707,1751,9879,24843,81,,,,distance
466718,1751,9879,24737,83,,,,header
466736,1751,8668,24003,86,,,,shot
467274,1752,8654,36394,31,,,,blocked_shot
467478,1752,8549,35608,43,,,,shot
467534,1752,8549,24753,45,1,,,blocked_shot
467680,1752,8654,33781,50,,,,blocked_shot
467746,1752,8654,109898,53,,,,shot
