id,match_id,team,player1,elapsed,elapsed_plus,subtype,card_type
488423,1770,10252,23283,90,,serious_fouls,y
487477,1771,8462,24630,39,,serious_fouls,y
490634,1772,8549,33128,65,,serious_fouls,y
490657,1772,8549,24167,69,,serious_fouls,y
487078,1773,8528,35472,16,,serious_fouls,y
487773,1773,10261,25518,50,,serious_fouls,y
487802,1773,8528,24230,50,,serious_fouls,y
487861,1773,8528,35472,54,,,y2
487924,1773,8528,97988,57,,serious_fouls,y
487302,1774,8472,24655,25,,,y
487361,1774,8655,24136,33,,,y
487463,1774,8472,24408,39,,hands,y
487475,1774,8472,24740,29,,,y
487844,1774,8655,35506,54,,,y
487982,1774,8472,30988,54,,,y
488130,1774,8655,23889,70,,,y
487092,1775,9879,24741,16,,hands,y
486618,1776,8559,23933,62,,verbal_abuse,y
486785,1776,8650,30617,86,,,y
488727,1777,8455,30627,52,,serious_fouls,y
488742,1777,8455,25925,57,,serious_fouls,y
488803,1777,8455,31306,78,,serious_fouls,y
491357,1778,8456,23939,11,,serious_fouls,y
491517,1778,8667,40132,25,,serious_fouls,y
492357,1778,8456,30367,83,,stall_time,y
492363,1778,8456,24213,84,,stall_time,y
492402,1778,8667,34437,88,,serious_fouls,y
499904,1780,8472,17866,19,,serious_fouls,y
499938,1780,8472,36786,22,,shirt_pull,y
500005,1780,8654,33049,28,,serious_fouls,y
498829,1781,8655,25667,27,,serious_fouls,y
498907,1781,8655,25667,39,,serious_fouls,y2
498989,1781,8586,23760,45,2,diving,y
499318,1781,8655,37764,69,,serious_fouls,y
499462,1781,8586,30818,88,,violence,y
499464,1781,8655,38711,88,,violence,y
497621,1782,10252,24658,77,,serious_fouls,y
495145,1783,8549,24167,7,,,y
495353,1783,8549,33128,22,,serious_fouls,y
495996,1783,8559,35532,52,,,y
496211,1783,8559,23783,63,,shirt_pull,y
496292,1783,8559,23785,67,,shirt_pull,y
496357,1783,8559,23933,70,,,y
496576,1783,8559,23784,84,,serious_fouls,y
496664,1784,9825,23678,87,,serious_fouls,y
496630,1785,8462,25517,85,,shirt_pull,y
496650,1785,8667,23605,86,,serious_fouls,y
496805,1785,8462,24653,90,5,verbal_abuse,y
496670,1786,10194,23275,88,,serious_fouls,y
496016,1788,10261,33852,49,,serious_fouls,y
496678,1788,10261,40565,86,,serious_fouls,y
513147,1789,8654,24747,19,,,y
513246,1789,8650,30889,54,,emergency_brake,y
507138,1790,8472,30352,21,,,y
507439,1790,8472,24446,42,,serious_fouls,y
507882,1790,8472,36786,64,,serious_fouls,y
508257,1790,8472,38836,88,,verbal_abuse,y
