id,match_id,team,player1,player2,elapsed,elapsed_plus,event_incident_typefk,goal,goal_type,pos_x,pos_y,subtype
479730,1760,8650,37442,37139,90,3,393,,n,,,shot
478161,1761,8472,33418,17866,4,,393,,n,,,shot
478689,1761,8462,40987,38820,51,,407,,n,,,distance
479097,1761,8462,30348,,90,1,20,,p,,,
478875,1762,8654,109898,24223,63,,393,,n,,,shot
479073,1762,8668,33086,30735,83,,406,,n,,,header
479090,1762,8668,30735,25666,85,,414,,n,,,deflected
479102,1762,8668,30735,30876,87,,407,,n,,,distance
481521,1763,8549,42183,,34,,80,,n,,,shot
481560,1763,10252,23283,38807,37,,406,,n,,,header
482570,1763,8549,42183,,88,,80,,n,,,shot
481298,1764,8456,33974,30340,16,,391,,n,,,loose_ball
481496,1764,8586,23949,31097,29,,393,,n,,,shot
482195,1764,8586,23949,30818,64,,393,,n,,,shot
480697,1765,8455,37804,25925,40,,414,,n,,,deflected
481020,1765,8455,37804,30631,68,,393,,n,,,shot
482197,1766,9879,31907,,23,,80,,n,,,shot
482842,1766,10261,24225,37799,57,,393,,n,,,shot
482919,1766,9879,30338,,66,,20,,p,,,
478703,1767,8559,24372,23783,50,,393,,n,,,shot
486869,1769,10260,30893,,4,,130,,n,,,direct_freekick
487579,1769,10260,34944,30893,45,1,393,,n,,,shot
487739,1769,10260,27430,38817,49,,393,,n,,,shot
488357,1769,10260,113836,111975,84,,407,,n,,,distance
488443,1769,10260,30893,,89,,130,,n,,,direct_freekick
487147,1770,10252,23354,,20,,159,,npm,,,saved
488099,1770,9825,31291,,70,,115,,o,,,
488254,1770,10252,23264,43280,80,,393,,n,,,shot
489911,1772,8549,24393,30892,8,,393,,n,,,shot
490636,1772,8668,24160,24011,65,,406,,n,,,header
486865,1773,8528,24890,,3,,39,,n,,,distance
488312,1773,10261,30619,,80,,131,,n,,,loose_ball
488436,1773,10261,37799,29581,87,,393,,n,,,shot
488465,1773,8528,24230,37684,89,,406,,n,,,header
487580,1774,8655,19020,23916,45,2,406,,n,,,header
487745,1774,8472,30988,,49,,167,,n,,,bicycle_kick
488148,1774,8472,33418,38802,71,,393,,n,,,shot
487365,1775,9879,24020,,33,,288,,n,,,deflected
488094,1775,9879,31907,24020,70,,393,,n,,,shot
488278,1775,8586,24157,23760,81,,393,,n,,,shot
486531,1776,8650,37139,34222,28,,406,,n,,,header
486560,1776,8559,23783,,45,2,299,,dg,,,header
486671,1776,8650,30618,30853,73,,406,,n,,,header
488694,1777,8455,25925,,34,,39,,n,,,distance
488701,1777,8455,37804,30679,38,,393,,n,,,shot
488714,1777,8455,37804,31906,45,1,393,,n,,,shot
491389,1778,8667,26143,,14,,80,,n,,,shot
491660,1778,8456,24213,,37,,80,,n,,,shot
491749,1778,8456,24213,33963,45,,393,,n,,,shot
492075,1778,8667,39073,,60,,130,,n,,,direct_freekick
499914,1780,8654,30966,,20,,288,,n,,,deflected
498739,1781,8586,40755,30895,9,,393,,n,,,shot
495126,1783,8559,26454,24372,8,,406,,n,,,header
495174,1783,8559,24372,26454,10,,393,,n,,,shot
496486,1783,8549,24167,24166,77,,393,,n,,,shot
496502,1783,8559,34261,35532,78,,393,,n,,,shot
495831,1784,8456,24213,,45,2,131,,n,,,loose_ball
496107,1784,8456,33974,30367,56,,393,,n,,,shot
496750,1784,8456,51553,,90,1,20,,p,,,
495329,1785,8462,30830,26108,20,,406,,n,,,header
496069,1785,8667,34275,26066,54,,406,,n,,,header
496258,1785,8462,34036,,63,,39,,n,,,distance
496682,1785,8462,24630,,88,,115,,o,,,
496585,1786,10194,23314,35467,84,,406,,n,,,header
502113,1787,8528,24841,35327,51,,393,,n,,,shot
496096,1788,8455,30630,,55,,304,,dg,,,loose_ball
507018,1790,8472,33418,38802,11,,393,,n,,,shot
507106,1790,8559,24372,26454,18,,406,,n,,,header
507142,1790,8559,23783,,21,,80,,n,,,shot
507259,1790,8472,33418,,30,,298,,dg,,,shot
507390,1790,8559,34261,23783,39,,393,,n,,,shot
507734,1790,8559,34261,23933,55,,393,,n,,,shot
510671,1791,8668,36012,24011,51,,414,,n,,,deflected
508138,1793,8549,35608,,83,,298,,dg,,,shot
509706,1794,10260,30829,34944,42,,391,,n,,,loose_ball
510681,1795,8462,30830,34036,49,,406,,n,,,header
510747,1795,8462,30348,38820,53,,393,,n,,,shot
510896,1795,8655,23170,23916,62,,406,,n,,,header
510978,1795,8655,23913,,67,,39,,n,,,distance
511180,1795,8462,24653,,79,,131,,n,,,loose_ball
507510,1796,8667,23352,34437,45,2,393,,n,,,shot
508038,1796,10194,38755,,73,,20,,p,,,
507564,1797,8659,27267,,47,,80,,n,,,shot
507809,1797,8528,24841,,61,,80,,n,,,shot
508189,1797,8528,35472,24663,87,,406,,n,,,header
511061,1798,9825,30986,,31,,115,,o,,,
