id,team,match_id,player1,elapsed,elapsed_plus,subtype
378960,10261,1729,38807,19,,cross
378992,10261,1729,40565,22,,short
378996,10261,1729,38807,22,,cross
379352,10260,1729,24154,48,,cross
379366,10261,1729,38807,51,,cross
379403,10260,1729,24148,58,,cross
379411,10260,1729,24148,59,,short
379420,10261,1729,40565,62,,cross
379429,10261,1729,38807,66,,cross
379435,10260,1729,24148,67,,cross
379452,10260,1729,24148,73,,cross
379460,10260,1729,30829,75,,cross
375535,9825,1730,39297,3,,short
375538,9825,1730,39297,3,,cross
375562,9825,1730,30960,9,,short
375586,9825,1730,39297,19,,cross
375602,9825,1730,39297,25,,cross
375609,8659,1730,23257,28,,cross
375621,8659,1730,23257,31,,cross
375626,9825,1730,26181,31,,cross
375657,8659,1730,31088,45,,cross
375682,8659,1730,23257,51,,cross
375818,9825,1730,30843,79,,cross
375853,8659,1730,24664,85,,cross
377879,8650,1731,30618,26,,cross
377892,8472,1731,38802,30,,cross
377906,8650,1731,30618,35,,cross
377910,8650,1731,30618,36,,cross
377914,8650,1731,30618,36,,cross
377931,8650,1731,30618,42,,cross
377972,8650,1731,30889,56,,cross
378001,8650,1731,30618,66,,cross
378019,8650,1731,30618,75,,cross
376147,8654,1732,36394,9,,cross
376227,8654,1732,36394,14,,cross
376235,8654,1732,36394,15,,cross
376259,8528,1732,35327,16,,cross
376320,8528,1732,35327,20,,cross
376355,8528,1732,35327,22,,cross
376655,8528,1732,35327,40,,short
376811,8654,1732,36394,45,3,cross
376957,8528,1732,35327,50,,cross
377005,8654,1732,36394,52,,cross
377224,8528,1732,35327,64,,cross
377414,8528,1732,35327,76,,cross
377565,8654,1732,24773,87,,cross
377577,8528,1732,37684,89,,cross
377582,8528,1732,37684,89,,cross
377593,8528,1732,37684,90,,cross
378471,10252,1733,23354,2,,cross
378479,8456,1733,33633,3,,cross
378505,10252,1733,23354,6,,cross
378539,10252,1733,23782,10,,cross
378557,8456,1733,40198,11,,cross
378782,8456,1733,33633,45,,cross
378790,8456,1733,33633,45,2,cross
378854,8456,1733,33633,50,,cross
378869,8456,1733,33633,51,,cross
378946,10252,1733,23354,60,,cross
378964,10252,1733,23354,62,,cross
379023,10252,1733,23354,68,,cross
379212,10252,1733,23354,87,,cross
379239,8456,1733,33633,89,,cross
379278,8456,1733,33633,90,3,cross
376069,8655,1734,23916,5,,cross
376294,8668,1734,24011,19,,cross
376404,8655,1734,30342,25,,cross
376780,8668,1734,24011,45,1,cross
377118,8655,1734,23916,58,,cross
377191,8668,1734,24011,62,,cross
377615,8655,1734,24136,90,1,cross
376027,8549,1735,24393,2,,cross
376091,8586,1735,23760,6,,cross
376143,8586,1735,23760,9,,cross
376286,8586,1735,23760,18,,cross
376305,8549,1735,24393,19,,cross
376501,8586,1735,23760,30,,cross
376534,8549,1735,24393,32,,cross
376659,8586,1735,23760,40,,cross
376736,8549,1735,30892,44,,cross
377150,8586,1735,41157,60,,short
377183,8549,1735,30892,62,,cross
377299,8586,1735,23760,69,,cross
377305,8586,1735,23760,69,,cross
377332,8549,1735,30892,71,,cross
377392,8549,1735,30892,75,,cross
377606,8586,1735,23760,90,,cross
376192,10194,1736,23253,11,,cross
376770,10194,1736,23253,45,,cross
376785,10194,1736,23253,45,1,cross
376988,8559,1736,24336,50,,cross
377308,8559,1736,24372,68,,cross
377319,8559,1736,24372,69,,cross
377475,8559,1736,24372,80,,cross
376063,8667,1737,23022,4,,cross
376117,9879,1737,24843,7,,cross
376289,9879,1737,24843,18,,cross
376311,9879,1737,24843,19,,cross
376678,9879,1737,24843,40,,cross
377006,8667,1737,23022,52,,cross
377210,8667,1737,39073,63,,cross
377271,9879,1737,24843,67,,cross
377287,9879,1737,24843,68,,cross
377374,8667,1737,3512,73,,cross
377597,8667,1737,39073,90,,short
378156,8455,1738,30686,5,,cross
378171,8455,1738,30631,7,,cross
378274,8455,1738,30686,35,,short
378416,8455,1738,30679,57,,short
378431,8455,1738,30631,61,,cross
378437,8455,1738,30679,61,,cross
378442,8462,1738,38820,63,,cross
378455,8462,1738,38820,65,,cross
378490,8455,1738,30631,75,,short
378495,8455,1738,30679,75,,short
378576,8462,1738,25517,83,,cross
463665,10260,1739,40945,3,,cross
464453,8654,1739,33781,39,,short
465153,10260,1739,40945,58,,cross
465481,10260,1739,30829,73,,cross
463898,9825,1740,,16,,cross
463906,9825,1740,30843,16,,cross
463992,9825,1740,30613,20,,cross
464013,9825,1740,30613,21,,cross
464036,9825,1740,26181,22,,cross
464290,9825,1740,30843,31,,cross
464404,9825,1740,30843,37,,cross
464929,9825,1740,30843,51,,cross
465677,9825,1740,30613,90,1,cross
465694,8586,1740,23760,90,3,
464459,8456,1741,33974,43,,short
464463,8456,1741,30367,43,,cross
464521,8549,1741,30892,45,2,cross
465191,8549,1741,30892,64,,cross
465201,8549,1741,30892,64,,cross
465316,8456,1741,30367,70,,cross
464249,8668,1742,24011,28,,cross
464467,8559,1742,37996,41,,cross
464473,8559,1742,24372,41,,cross
465255,8559,1742,37996,64,,cross
465458,8668,1742,24011,72,,cross
465541,8559,1742,24372,77,,cross
465599,8559,1742,24372,81,,cross
465673,8668,1742,24011,88,,cross
463475,8667,1743,23022,8,,cross
463763,8667,1743,23352,24,,short
464084,8667,1743,23022,39,,cross
464185,8455,1743,30631,42,,cross
464287,8455,1743,30686,45,,cross
464585,8455,1743,30631,49,,short
464754,8455,1743,30631,60,,cross
464822,8667,1743,23022,64,,cross
465408,8667,1743,,90,,cross
463455,10194,1744,35467,8,,cross
463546,10194,1744,22994,14,,cross
463861,8472,1744,24411,30,,cross
464031,10194,1744,22994,37,,cross
464228,8472,1744,30352,44,,cross
464295,10194,1744,22994,45,1,cross
464702,8472,1744,24411,55,,cross
464903,10194,1744,22994,65,,cross
463547,8650,1745,30618,2,,cross
463619,8650,1745,30618,6,,cross
463740,8650,1745,34222,11,,cross
464507,8650,1745,34601,45,2,short
465027,8650,1745,30618,59,,cross
465362,8650,1745,34222,74,,cross
465372,8650,1745,34222,75,,cross
465562,8462,1745,38820,84,,cross
463446,10252,1746,23354,6,,cross
463538,8655,1746,30842,13,,cross
463696,8655,1746,49840,21,,cross
463955,8655,1746,49840,33,,cross
464226,10252,1746,23782,44,,cross
464795,8655,1746,49840,61,,cross
464925,8655,1746,49840,66,,cross
464955,10252,1746,23354,68,,cross
465087,10252,1746,23782,74,,short
462673,10261,1747,34574,1,,cross
462679,10261,1747,34574,3,,cross
462681,10261,1747,24205,3,,cross
462747,8659,1747,23257,22,,cross
462773,8659,1747,24664,26,,cross
462812,10261,1747,34574,33,,cross
462828,8659,1747,24664,36,,cross
462963,10261,1747,34574,52,,cross
462969,8659,1747,23257,53,,short
462981,8659,1747,24664,58,,cross
463009,8659,1747,24664,70,,cross
463020,8659,1747,24664,73,,cross
463039,8659,1747,24664,81,,cross
463059,10261,1747,34574,88,,cross
463062,10261,1747,34574,89,,short
463608,8528,1748,35327,15,,cross
463819,9879,1748,24737,25,,short
464274,8528,1748,38816,44,,cross
465333,9879,1748,24843,83,,cross
467061,10260,1749,34944,15,,short
467369,10260,1749,34944,37,,short
467490,10260,1749,40945,43,,cross
467848,10260,1749,30893,57,,short
467851,10260,1749,30829,57,,cross
467931,8667,1749,23022,62,,cross
468189,10260,1749,24154,78,,cross
468198,10260,1749,24154,79,,cross
468208,10260,1749,24154,79,,cross
468232,10260,1749,24154,81,,short
468562,8650,1750,30618,4,,cross
468576,8650,1750,30618,6,,cross
468578,8650,1750,30618,6,,cross
468725,8586,1750,23760,40,,cross
468838,8586,1750,23760,51,,cross
468882,8586,1750,23760,60,,cross
469042,8650,1750,30618,90,3,cross
466428,8668,1751,24011,19,,cross
466466,8668,1751,24011,30,,cross
466472,8668,1751,24011,30,,short
466473,8668,1751,24011,31,,cross
466500,9879,1751,24843,36,,cross
466586,8668,1751,24011,51,,cross
466597,9879,1751,24020,57,,cross
466609,9879,1751,24020,61,,cross
466661,8668,1751,24011,71,,cross
466693,9879,1751,24843,78,,cross
466717,9879,1751,24843,83,,cross
466886,8549,1752,30892,3,,cross
467312,8654,1752,33781,34,,cross
467527,8549,1752,30892,45,1,cross
467636,8654,1752,33781,48,,cross
467757,8654,1752,33781,54,,cross
468123,8549,1752,30892,76,,cross
468302,8549,1752,30892,88,,cross
468315,8654,1752,33781,89,,cross
472928,10261,1753,34574,8,,cross
472934,10252,1753,23782,10,,cross
472994,10252,1753,23354,36,,cross
473029,10252,1753,23354,47,,cross
473049,10252,1753,38807,53,,cross
473055,10252,1753,23782,55,,cross
473086,10261,1753,34574,70,,cross
473141,10252,1753,23782,90,2,cross
470949,8559,1754,24372,25,,cross
470953,8559,1754,35532,26,,cross
471011,8456,1754,33974,30,,cross
471229,8559,1754,23784,45,,cross
471533,8559,1754,24372,62,,cross
471575,8559,1754,23784,66,,short
471863,8559,1754,23784,74,,cross
467504,8659,1755,24664,45,,cross
467531,8655,1755,30842,45,1,short
467652,8659,1755,38433,47,,cross
467829,8655,1755,30842,57,,cross
468408,8655,1755,23916,90,3,cross
466974,8528,1756,24663,9,,cross
467090,8462,1756,23988,17,,cross
467130,8462,1756,23988,19,,cross
467237,8528,1756,24663,28,,cross
467245,8528,1756,24663,29,,cross
467368,8528,1756,24663,37,,cross
467401,8462,1756,23988,39,,cross
467509,8528,1756,24663,45,,cross
467814,8528,1756,24663,53,,cross
468077,8462,1756,23988,69,,cross
468219,8462,1756,23988,77,,cross
468277,8462,1756,23988,82,,cross
468439,8462,1756,38820,58,,cross
466941,9825,1757,30613,6,,cross
467168,9825,1757,30613,23,,cross
467367,10194,1757,25668,37,,cross
467459,10194,1757,25668,42,,cross
467663,9825,1757,30613,47,,cross
467905,9825,1757,30613,60,,cross
468009,10194,1757,25668,67,,cross
468261,9825,1757,31013,83,,cross
468419,9825,1757,30613,90,6,short
466882,8455,1758,30686,2,,cross
467196,8455,1758,30631,25,,cross
467208,8455,1758,30679,25,,cross
467263,8455,1758,30631,29,,cross
477596,10260,1759,40961,12,,cross
477680,10260,1759,40961,28,,short
477691,9825,1759,26181,29,,cross
477736,9825,1759,30613,39,,cross
477785,9825,1759,30613,46,,short
477789,9825,1759,30613,47,,cross
477811,10260,1759,30829,52,,cross
477823,9825,1759,30613,53,,cross
477895,10260,1759,30829,66,,cross
477985,10260,1759,24154,85,,cross
478012,10260,1759,24154,89,,cross
479371,8650,1760,34222,15,,cross
479377,8659,1760,38433,16,,short
479423,8659,1760,24664,27,,cross
479428,8650,1760,30618,30,,cross
479465,8650,1760,34222,39,,cross
479482,8659,1760,38433,43,,cross
479630,8659,1760,38433,63,,cross
479633,8659,1760,38433,63,,cross
479700,8659,1760,23257,84,,cross
479715,8659,1760,23257,90,,cross
478146,8472,1761,17866,3,,cross
478241,8462,1761,23988,12,,cross
478279,8472,1761,17866,17,,cross
478294,8472,1761,17866,18,,cross
478310,8462,1761,40987,19,,cross
478348,8472,1761,17866,24,,cross
478391,8472,1761,17866,29,,cross
478445,8462,1761,23988,35,,cross
478885,8472,1761,17866,70,,cross
478921,8472,1761,17866,73,,cross
479074,8472,1761,24408,88,,cross
478181,8654,1762,33781,3,,short
478184,8654,1762,33781,4,,cross
478193,8654,1762,33781,4,,cross
478365,8654,1762,33781,24,,cross
478436,8654,1762,33781,32,,cross
478484,8654,1762,33781,37,,cross
478810,8668,1762,24011,56,,cross
479000,8668,1762,24011,77,,cross
479003,8668,1762,24011,77,,cross
479015,8654,1762,24773,78,,short
479020,8654,1762,24773,78,,cross
479066,8668,1762,24011,82,,cross
479113,8654,1762,118390,89,,cross
481062,8549,1763,30892,4,,cross
481066,8549,1763,30892,4,,cross
481444,10252,1763,23782,28,,cross
481878,10252,1763,23354,50,,cross
481891,10252,1763,23782,51,,short
481897,10252,1763,23354,51,,cross
482342,10252,1763,23354,77,,cross
482363,8549,1763,33128,78,,cross
482405,10252,1763,38807,79,,cross
482565,10252,1763,23354,88,,cross
482602,10252,1763,38807,90,,cross
482649,8549,1763,30892,90,3,short
481384,8586,1764,23760,22,,cross
481474,8586,1764,23760,28,,cross
481943,8586,1764,23760,51,,short
481950,8586,1764,23760,52,,cross
482005,8456,1764,33963,54,,short
482375,8456,1764,33963,75,,cross
482392,8456,1764,33963,76,,cross
482423,8456,1764,33963,77,,cross
480458,8455,1765,30631,6,,cross
480476,8655,1765,49840,9,,cross
480503,8455,1765,30631,13,,cross
480507,8455,1765,30631,13,,short
480537,8655,1765,49840,17,,cross
480557,8455,1765,30631,20,,cross
480563,8455,1765,30631,21,,cross
480570,8655,1765,23916,22,,cross
480592,8655,1765,23916,27,,cross
480629,8455,1765,30679,33,,cross
480687,8455,1765,30631,38,,cross
480693,8455,1765,30631,39,,cross
481079,8655,1765,23916,74,,cross
481206,8455,1765,30686,82,,cross
481917,9879,1766,24020,8,,cross
481922,9879,1766,24843,9,,cross
482083,9879,1766,24020,18,,cross
482092,9879,1766,24843,18,,cross
482156,9879,1766,24020,21,,cross
482856,10261,1766,34574,59,,cross
483175,9879,1766,24843,86,,cross
478296,8559,1767,24372,15,,short
478314,8559,1767,24372,17,,cross
478337,8559,1767,24372,20,,short
478379,8667,1767,23022,25,,cross
478420,8667,1767,23022,30,,cross
478467,8667,1767,23022,35,,cross
478700,8559,1767,23784,50,,cross
478755,8559,1767,24372,55,,cross
478961,8667,1767,34437,75,,cross
478975,8559,1767,24372,76,,cross
478977,8559,1767,24372,77,,cross
478994,8667,1767,34437,78,,cross
479084,8667,1767,34437,87,,cross
477880,8528,1768,24663,62,,cross
477906,8528,1768,24663,66,,cross
477955,8528,1768,24663,78,,cross
477966,10194,1768,40574,80,,cross
477974,10194,1768,40574,81,,cross
478028,8528,1768,24663,90,,cross
478037,8528,1768,24663,90,1,cross
478049,10194,1768,23253,90,2,cross
486930,10260,1769,38817,7,,short
487939,10260,1769,38817,60,,short
487989,10260,1769,38817,62,,cross
486921,10252,1770,23782,7,,cross
486970,9825,1770,31013,10,,short
487192,9825,1770,30613,23,,cross
487351,9825,1770,30613,31,,cross
487502,10252,1770,23354,42,,cross
487765,10252,1770,23782,53,,cross
488131,9825,1770,30613,72,,cross
488330,9825,1770,30613,85,,cross
488378,9825,1770,30613,88,,cross
488400,9825,1770,30613,89,,cross
488429,9825,1770,30613,90,1,cross
488467,10252,1770,23354,90,3,short
486901,8654,1771,33781,5,,cross
487231,8462,1771,40987,24,,cross
487273,8462,1771,24653,27,,cross
487385,8462,1771,40987,33,,cross
487397,8462,1771,40987,34,,cross
487561,8654,1771,33781,45,,cross
487614,8462,1771,24653,45,3,short
487724,8462,1771,24653,48,,short
487855,8654,1771,33781,55,,cross
487864,8654,1771,24223,55,,cross
488059,8654,1771,33781,66,,cross
488160,8654,1771,24773,72,,cross
488349,8654,1771,24773,83,,cross
488366,8462,1771,24653,84,,cross
488373,8654,1771,24773,85,,cross
488464,8462,1771,24653,90,,cross
489900,8668,1772,24011,7,,cross
489985,8668,1772,24011,23,,cross
489999,8668,1772,24011,27,,cross
490016,8549,1772,33128,29,,cross
490051,8668,1772,24011,33,,cross
490070,8668,1772,24011,34,,short
490082,8668,1772,24011,35,,cross
490193,8668,1772,24011,44,,cross
490480,8668,1772,24011,48,,cross
490561,8668,1772,24011,54,,cross
490576,8668,1772,24011,56,,cross
487146,8528,1773,24890,19,,cross
487150,8528,1773,24890,20,,cross
487158,8528,1773,24890,20,,cross
487371,8528,1773,24890,33,,cross
487728,8528,1773,24890,47,,cross
487742,8528,1773,24890,47,,cross
487791,8528,1773,24890,50,,cross
487836,8528,1773,24890,53,,cross
487887,10261,1773,34574,56,,cross
487911,8528,1773,24890,57,,cross
487995,10261,1773,34574,61,,short
488227,10261,1773,34574,75,,cross
488461,8528,1773,37684,89,,cross
488476,10261,1773,29581,90,,cross
